cuda:0
Training from scratch
Training dataset loaded: Number of batches: 1563, Number of images: 50000
Steps: 7553/156300 	 loss (ema): 0.054 	 Time elapsed: 0.504 hr
Steps: 7653/156300 	 loss (ema): 0.064 	 Time elapsed: 0.511 hr
Steps: 7753/156300 	 loss (ema): 0.058 	 Time elapsed: 0.517 hr
Steps: 7816/156300 	 loss (ema): 0.060 	 Time elapsed: 0.522 hr
Steps: 7916/156300 	 loss (ema): 0.064 	 Time elapsed: 0.528 hr
Steps: 8016/156300 	 loss (ema): 0.055 	 Time elapsed: 0.535 hr
Steps: 8116/156300 	 loss (ema): 0.065 	 Time elapsed: 0.542 hr
Steps: 8216/156300 	 loss (ema): 0.055 	 Time elapsed: 0.548 hr
Steps: 8316/156300 	 loss (ema): 0.057 	 Time elapsed: 0.555 hr
Steps: 8416/156300 	 loss (ema): 0.053 	 Time elapsed: 0.562 hr
Steps: 8516/156300 	 loss (ema): 0.050 	 Time elapsed: 0.568 hr
Steps: 8616/156300 	 loss (ema): 0.055 	 Time elapsed: 0.575 hr
Steps: 8716/156300 	 loss (ema): 0.057 	 Time elapsed: 0.582 hr
Steps: 8816/156300 	 loss (ema): 0.057 	 Time elapsed: 0.589 hr
Steps: 8916/156300 	 loss (ema): 0.055 	 Time elapsed: 0.595 hr
Steps: 9016/156300 	 loss (ema): 0.058 	 Time elapsed: 0.602 hr
Steps: 9116/156300 	 loss (ema): 0.059 	 Time elapsed: 0.609 hr
Steps: 9216/156300 	 loss (ema): 0.041 	 Time elapsed: 0.615 hr
Steps: 9316/156300 	 loss (ema): 0.064 	 Time elapsed: 0.622 hr
Steps: 9379/156300 	 loss (ema): 0.047 	 Time elapsed: 0.626 hr
Steps: 9479/156300 	 loss (ema): 0.066 	 Time elapsed: 0.633 hr
Steps: 9579/156300 	 loss (ema): 0.050 	 Time elapsed: 0.640 hr
Steps: 9679/156300 	 loss (ema): 0.062 	 Time elapsed: 0.646 hr
Steps: 9779/156300 	 loss (ema): 0.057 	 Time elapsed: 0.653 hr
Steps: 9879/156300 	 loss (ema): 0.052 	 Time elapsed: 0.660 hr
Steps: 9979/156300 	 loss (ema): 0.052 	 Time elapsed: 0.666 hr
Steps: 10079/156300 	 loss (ema): 0.053 	 Time elapsed: 0.673 hr
Steps: 10179/156300 	 loss (ema): 0.049 	 Time elapsed: 0.680 hr
Steps: 10279/156300 	 loss (ema): 0.046 	 Time elapsed: 0.686 hr
Steps: 10379/156300 	 loss (ema): 0.049 	 Time elapsed: 0.693 hr
Steps: 10479/156300 	 loss (ema): 0.058 	 Time elapsed: 0.700 hr
Steps: 10579/156300 	 loss (ema): 0.047 	 Time elapsed: 0.706 hr
Steps: 10679/156300 	 loss (ema): 0.066 	 Time elapsed: 0.713 hr
Steps: 10779/156300 	 loss (ema): 0.053 	 Time elapsed: 0.720 hr
Steps: 10879/156300 	 loss (ema): 0.050 	 Time elapsed: 0.726 hr
Steps: 10942/156300 	 loss (ema): 0.051 	 Time elapsed: 0.730 hr
Steps: 11042/156300 	 loss (ema): 0.058 	 Time elapsed: 0.737 hr
Steps: 11142/156300 	 loss (ema): 0.055 	 Time elapsed: 0.744 hr
Steps: 11242/156300 	 loss (ema): 0.058 	 Time elapsed: 0.750 hr
Steps: 11342/156300 	 loss (ema): 0.058 	 Time elapsed: 0.757 hr
